diabetes_prevalence,MEDHHINC_2018,PCTPOVALL_2018,Percent of adults with a bachelor's degree or higher 2014-18,Unemployment_rate_2018,Active Physicians per 100000 Population 2018 (AAMC)
13.8,56052,11.6,17.6,2.6,227.6
11.6,58033,9.3,19.5,3.6,227.6
8.9,50856,10.3,21.9,4.8,227.6
13.2,49626,11.4,22.7,2.2,227.6
14.2,41906,12.5,26.2,3.2,227.6
12.9,61614,10.9,15.4,2.8,227.6
11.1,65771,7.5,21.0,2.0,227.6
12.5,51606,11.3,29.0,2.0,227.6
14.8,43083,14.5,19.6,3.6,227.6
13.0,51559,14.1,18.2,2.0,227.6
13.5,45570,14.3,17.1,2.9,227.6
11.2,57934,10.4,31.0,3.2,227.6
13.6,60808,10.5,16.3,2.2,227.6
12.8,54058,11.7,28.4,2.5,227.6
12.5,56330,10.5,21.3,3.0,227.6
11.6,69246,7.6,21.9,3.3,227.6
16.0,44271,15.0,16.9,2.8,227.6
8.2,87087,5.5,55.3,2.9,227.6
13.8,63248,12.4,15.9,2.4,227.6
11.9,56005,11.1,24.2,3.2,227.6
12.3,64399,12.1,27.9,2.4,227.6
14.0,44571,16.0,17.8,4.0,227.6
13.6,59240,10.3,21.6,2.8,227.6
11.2,70807,10.6,31.7,3.6,227.6
13.0,44439,12.7,22.6,2.5,227.6
14.5,47153,12.9,16.0,5.9,227.6
12.3,50267,9.1,17.6,2.2,227.6
11.0,47982,16.1,27.3,3.5,227.6
11.3,58017,10.5,29.0,2.6,227.6
12.5,51712,9.6,25.1,3.1,227.6
13.0,51066,11.2,18.6,2.6,227.6
13.1,67220,9.4,20.1,2.1,227.6
10.2,71770,7.9,27.7,3.6,227.6
12.9,51514,11.4,25.3,2.3,227.6
14.1,42479,19.5,18.2,4.3,227.6
13.5,49287,11.4,20.1,2.8,227.6
13.7,53785,11.1,17.1,3.3,227.6
11.3,59567,9.1,24.5,2.3,227.6
13.5,46176,14.8,20.6,4.9,227.6
14.5,51757,10.5,18.9,2.8,227.6
12.4,47252,14.6,15.9,2.1,227.6
13.3,53864,12.5,18.6,3.8,227.6
13.1,46101,12.9,23.0,2.6,227.6
12.4,56451,10.2,23.5,2.9,227.6
12.8,47039,14.2,18.8,3.2,227.6
13.3,47405,12.4,22.3,2.5,227.6
9.9,69975,8.0,34.5,2.8,227.6
11.5,52567,12.0,28.1,2.8,227.6
13.5,46638,12.9,25.1,2.1,227.6
13.1,49341,12.3,20.5,3.6,227.6
13.1,48566,11.0,24.5,2.7,227.6
12.2,51686,13.8,23.2,2.9,227.6
7.1,47057,20.7,46.0,2.9,227.6
12.5,47365,11.2,24.0,3.2,227.6
13.5,44121,13.8,23.1,2.7,227.6
12.6,45879,13.7,25.9,3.0,227.6
11.7,53961,11.0,26.2,3.1,227.6
11.9,63790,7.8,24.9,2.0,227.6
12.6,56381,13.4,30.9,3.8,227.6
13.5,50671,15.1,11.1,3.3,227.6
12.4,53612,13.9,30.8,3.5,227.6
13.0,50553,11.9,21.4,2.3,227.6
12.6,45966,13.7,19.1,2.8,227.6
14.2,41899,12.2,19.1,2.5,227.6
13.7,47835,13.4,23.9,2.7,227.6
12.9,60136,11.5,19.3,2.6,227.6
14.2,58817,10.7,12.2,2.8,227.6
12.6,56946,13.4,22.2,3.5,227.6
11.0,55345,9.9,25.5,2.6,227.6
12.8,48520,11.6,22.8,3.2,227.6
11.5,59744,8.1,23.3,3.2,227.6
12.5,51350,13.1,30.9,2.6,227.6
13.1,48104,12.4,20.3,2.7,227.6
12.9,59800,11.9,21.1,2.2,227.6
13.8,45697,15.4,14.4,4.4,227.6
15.7,43894,16.1,13.5,4.3,227.6
15.2,47084,18.4,17.4,4.8,227.6
15.3,37392,23.8,16.3,5.1,230.9
15.0,44624,17.3,14.6,3.7,230.9
13.3,60908,10.0,20.3,3.6,230.9
15.1,47658,15.3,13.3,6.9,230.9
16.2,42439,19.2,16.0,4.4,230.9
16.3,44183,20.4,12.4,6.7,230.9
18.8,29362,31.3,8.9,6.3,230.9
11.3,77696,6.4,31.6,3.4,230.9
15.2,48614,16.5,18.9,4.0,230.9
15.3,48020,18.3,20.2,5.9,230.9
14.3,47528,14.8,23.4,4.4,230.9
14.1,56432,11.3,13.7,4.9,230.9
17.6,31182,32.5,14.3,7.3,230.9
15.5,47284,18.8,11.1,5.4,230.9
12.8,61022,9.5,14.2,4.1,230.9
15.9,43048,17.7,12.6,4.9,230.9
15.7,43659,18.0,15.3,4.7,230.9
12.4,41873,21.3,29.0,3.9,230.9
11.8,60904,13.1,33.5,3.3,230.9
16.7,41249,17.2,14.8,4.9,230.9
15.4,47623,15.6,8.8,4.1,230.9
16.6,32906,31.1,13.7,9.2,230.9
17.4,34358,26.0,13.3,4.7,230.9
13.4,40299,18.2,17.3,5.2,230.9
14.0,50162,16.0,20.1,4.1,230.9
18.0,28146,38.2,9.5,7.1,230.9
18.0,31118,25.7,10.1,5.5,230.9
16.0,43624,17.8,13.1,5.2,230.9
17.3,33541,23.3,13.1,4.5,230.9
13.8,51441,15.3,22.9,4.0,230.9
16.0,43151,17.4,10.8,5.3,230.9
16.9,35446,25.2,8.3,9.3,230.9
17.6,35701,25.3,9.9,5.5,230.9
11.8,55358,14.6,42.9,3.3,230.9
15.4,42571,18.6,12.7,5.4,230.9
18.3,33218,34.2,11.2,6.6,230.9
12.8,53134,12.9,29.8,3.7,230.9
19.2,32355,30.2,13.3,5.8,230.9
14.3,49060,15.1,11.6,4.1,230.9
14.5,51203,16.1,16.8,4.4,230.9
14.0,53965,13.9,13.6,4.3,230.9
15.9,46785,16.9,16.3,5.0,230.9
15.8,40780,21.4,10.4,4.9,230.9
16.9,36782,18.0,12.0,4.3,230.9
14.5,49457,16.6,17.2,6.6,230.9
14.0,56769,12.0,11.0,4.2,230.9
13.4,52278,13.4,23.0,4.1,230.9
19.7,29521,33.4,10.8,7.4,230.9
14.4,51709,15.5,14.8,4.1,230.9
16.3,37038,22.2,11.8,4.0,230.9
15.4,51161,16.3,17.9,3.8,230.9
15.2,53405,14.3,12.2,3.9,230.9
18.8,44290,17.7,17.6,5.7,230.9
16.4,45512,18.1,16.0,4.4,230.9
17.0,35317,26.5,12.2,7.0,230.9
12.9,55860,15.4,32.7,4.1,230.9
12.7,59443,12.6,29.5,3.6,230.9
15.7,39381,25.0,14.9,6.9,230.9
12.0,64644,10.4,30.4,3.4,230.9
18.8,32228,32.1,12.9,6.9,230.9
17.2,30742,31.9,13.1,6.2,230.9
15.1,45458,15.3,10.1,4.4,230.9
15.7,41425,20.6,13.4,5.1,230.9
16.4,36667,25.5,10.0,7.2,230.9
18.5,29124,34.4,10.3,6.3,230.9
17.8,31921,30.8,9.7,7.1,230.9
18.7,32321,31.1,11.7,6.5,230.9
17.6,35751,25.2,11.0,8.4,230.9
16.5,42190,20.6,11.1,5.0,230.9
16.0,48182,13.9,11.4,6.8,230.9
15.2,46742,18.0,15.0,3.9,230.9
15.8,48395,14.5,15.9,5.1,230.9
15.3,48950,14.7,24.6,5.6,230.9
19.1,30029,33.7,6.9,6.3,230.9
15.0,48080,13.9,12.0,4.9,230.9
11.2,51897,16.5,30.5,3.9,230.9
17.7,30950,28.4,9.7,13.2,230.9
15.6,45661,17.1,13.2,3.8,230.9
14.2,52388,12.1,18.8,5.3,230.9
16.0,28925,39.1,8.5,6.5,230.9
15.2,41807,18.2,18.9,5.5,230.9
12.9,57613,11.4,18.2,4.6,230.9
16.8,34002,26.4,11.3,7.6,230.9
14.6,53921,12.8,17.5,4.5,230.9
16.9,35906,23.3,13.1,4.1,230.9
16.3,35596,23.0,12.9,4.1,230.9
15.0,46629,15.3,16.3,6.0,230.9
16.3,35848,27.3,13.6,6.3,230.9
15.6,43722,17.4,11.1,6.7,230.9
12.8,55602,12.2,17.2,4.3,230.9
16.6,41428,15.5,10.2,4.6,230.9
15.1,44751,17.2,13.3,5.7,230.9
10.3,102136,5.6,42.2,3.3,230.9
15.4,48998,15.8,9.9,4.9,230.9
18.0,26278,39.2,16.2,7.1,230.9
14.5,54583,15.5,11.3,4.1,230.9
16.7,33108,28.9,12.3,6.3,230.9
17.2,37124,23.8,13.0,5.9,230.9
15.3,37776,22.0,14.7,6.0,230.9
16.1,41541,19.5,15.3,5.1,230.9
16.6,45146,19.1,16.0,4.9,230.9
16.0,37732,22.8,10.6,4.9,230.9
12.0,41196,22.7,26.6,5.2,230.9
16.8,34648,21.6,12.9,5.8,230.9
11.1,73500,8.3,28.6,3.3,230.9
13.0,66056,10.0,24.2,3.5,230.9
13.7,51769,12.5,14.2,3.9,230.9
12.1,85899,7.3,20.2,3.6,230.9
14.8,45429,19.2,19.2,4.3,230.9
15.2,51027,17.1,12.9,4.0,230.9
15.3,49767,13.1,16.9,4.7,230.9
15.1,51674,16.5,12.0,4.3,230.9
14.5,47067,16.3,11.0,5.0,230.9
11.0,53478,16.5,30.6,3.7,230.9
14.9,50246,13.8,17.7,3.7,230.9
18.1,33701,28.1,12.8,7.0,230.9
16.0,47132,18.4,9.8,4.2,230.9
14.9,36863,25.7,19.2,5.0,230.9
19.2,30144,31.4,7.6,7.7,230.9
13.2,66164,9.4,32.9,3.1,230.9
14.1,40484,25.2,13.4,5.4,260.3
13.6,44395,19.6,12.7,5.6,260.3
11.2,77758,10.8,26.8,4.1,260.3
16.0,48120,20.7,10.2,6.7,260.3
15.7,37731,27.4,12.1,5.7,260.3
12.8,57005,15.4,17.5,5.3,260.3
19.1,34047,26.9,12.4,5.8,260.3
11.7,56754,14.4,25.6,4.3,260.3
15.7,40467,22.4,23.5,5.5,260.3
12.9,50531,14.9,21.9,3.8,260.3
15.7,40842,20.8,14.2,5.7,260.3
12.5,57299,13.9,11.6,3.5,260.3
15.4,35812,26.0,11.7,6.8,260.3
19.1,33659,32.7,14.7,5.2,260.3
17.8,35840,27.2,12.8,7.0,260.3
16.4,44457,18.3,14.2,5.7,260.3
12.6,52945,16.7,34.7,4.3,260.3
22.4,27714,45.7,8.5,10.3,260.3
16.4,45174,19.6,12.6,4.7,260.3
16.0,34113,27.3,12.8,5.8,260.3
16.7,34446,27.3,11.9,7.1,260.3
13.1,43502,20.0,8.4,5.9,260.3
15.1,42909,24.1,12.7,5.8,260.3
15.6,47917,23.8,14.5,6.2,260.3
16.4,40828,21.6,13.5,4.6,260.3
14.1,50871,15.6,26.1,4.4,260.3
13.8,44492,17.7,15.9,4.7,260.3
12.1,57821,15.3,32.1,4.5,260.3
13.2,52651,16.6,16.6,4.7,260.3
13.7,45742,19.5,12.2,4.4,260.3
11.9,36525,25.8,36.5,5.2,260.3
10.5,63088,11.3,18.3,4.1,260.3
18.8,28452,41.7,12.6,8.3,260.3
17.8,34023,27.4,13.0,8.2,260.3
15.5,36298,32.8,17.8,5.8,260.3
14.4,38855,23.8,36.8,5.0,260.3
14.1,44371,21.3,24.3,5.2,260.3
12.9,58643,15.5,19.6,4.6,260.3
16.2,46603,20.3,15.2,5.4,260.3
15.0,48116,19.4,20.5,5.3,260.3
17.5,36865,23.1,13.9,4.4,260.3
16.7,35103,26.2,13.5,6.2,260.3
15.5,36423,23.1,13.1,5.2,260.3
12.9,43983,20.1,12.3,5.0,260.3
12.1,67585,12.8,24.2,4.4,260.3
17.9,38699,19.6,13.9,6.6,260.3
15.7,53903,16.8,14.3,6.2,260.3
15.3,50830,18.2,16.3,5.7,260.3
17.2,36624,32.7,14.2,6.2,260.3
13.9,46229,19.3,14.4,5.2,260.3
16.3,39764,21.0,10.6,6.6,260.3
11.7,67054,11.8,33.5,4.2,260.3
13.7,47128,17.9,19.4,5.5,260.3
25.3,28962,31.6,10.5,7.7,260.3
14.0,51665,17.3,15.8,5.0,260.3
15.3,43584,18.0,14.6,5.7,260.3
12.9,48263,18.3,14.2,5.3,260.3
10.9,47664,17.5,16.8,6.6,260.3
17.4,36850,24.6,11.7,5.7,260.3
17.6,35070,26.0,15.1,6.1,260.3
13.1,58205,12.8,20.6,4.4,260.3
15.6,39332,23.3,12.6,9.2,260.3
14.5,60296,24.4,22.2,4.0,260.3
15.9,40133,22.8,14.4,6.3,260.3
11.7,49935,12.3,22.2,3.3,330.2
14.9,39450,15.3,18.9,4.8,330.2
8.7,71586,8.2,46.7,2.7,330.2
11.2,49561,14.5,25.4,4.0,330.2
11.0,52148,11.6,32.3,3.8,330.2
10.8,52154,11.2,27.1,3.2,330.2
10.0,56678,11.0,31.0,3.2,330.2
11.7,56211,11.1,32.7,3.3,330.2
12.0,44243,16.7,19.0,4.0,330.2
10.9,47840,14.7,27.1,3.8,330.2
14.7,40066,17.5,18.3,4.2,330.2
10.2,65969,8.7,35.5,2.7,330.2
12.5,43755,16.1,16.5,4.8,330.2
11.4,49482,13.7,29.6,3.5,330.2
13.0,39522,18.3,20.8,4.9,330.2
9.9,65984,9.0,31.4,3.0,330.2
12.8,43535,16.7,18.3,5.5,386.0
10.4,97051,7.0,40.9,3.3,386.0
12.0,75836,9.9,38.6,4.0,386.0
11.3,106270,5.4,31.1,3.5,386.0
14.6,56627,13.2,16.9,3.8,386.0
9.8,95956,6.0,35.6,3.2,386.0
11.4,72739,8.3,22.8,4.4,386.0
12.6,92616,6.6,28.9,3.9,386.0
16.0,48682,15.4,20.8,5.2,386.0
10.1,95196,6.2,40.6,3.5,386.0
13.2,49147,12.2,20.1,4.8,386.0
11.6,87959,7.0,35.8,3.6,386.0
9.2,116719,5.2,61.4,3.0,386.0
12.9,55514,12.9,34.2,4.3,386.0
10.4,107758,6.9,59.0,3.2,386.0
14.4,82445,8.3,32.7,4.1,386.0
10.4,93751,6.5,34.9,3.3,386.0
10.8,89964,8.0,31.5,3.8,386.0
14.9,42098,23.4,15.7,6.9,386.0
12.1,64245,9.2,38.6,3.7,386.0
13.3,62556,11.1,21.4,4.3,386.0
12.9,54313,14.6,26.8,5.2,386.0
14.0,59266,10.4,30.4,8.0,386.0
14.1,50501,18.9,31.2,5.7,386.0
10.5,69001,8.0,42.8,4.3,449.5
10.6,58375,11.3,33.4,4.0,449.5
9.7,66005,10.8,28.0,4.3,449.5
10.1,70224,7.7,44.2,4.6,449.5
9.8,76373,10.7,39.4,3.4,449.5
10.0,58992,10.6,37.2,3.0,449.5
10.5,52682,16.7,27.2,4.6,449.5
7.9,74456,11.1,46.5,3.0,449.5
7.5,100374,7.3,55.2,2.7,449.5
8.1,97525,5.9,51.7,4.4,449.5
8.2,100184,6.5,53.0,3.0,449.5
9.3,89678,6.2,36.7,3.5,449.5
8.7,68743,17.5,44.8,3.0,449.5
9.4,71767,9.0,35.9,3.5,449.5
16.0,39862,19.5,15.7,6.6,287.0
13.4,47441,12.6,17.4,7.8,287.0
10.6,62247,10.7,22.7,3.3,287.0
12.6,42792,15.3,17.5,5.1,287.0
12.8,56456,10.6,28.2,5.6,287.0
14.4,42540,15.9,11.8,7.1,287.0
13.8,43435,15.4,14.5,6.1,287.0
10.6,64121,8.5,20.1,3.4,287.0
12.1,50576,15.6,18.9,4.8,287.0
12.3,51905,10.3,29.3,5.5,287.0
12.3,51509,15.3,27.7,4.3,287.0
12.3,50477,14.5,14.2,3.7,287.0
12.5,48413,17.3,21.2,4.2,287.0
12.2,55978,11.2,19.1,4.1,287.0
12.0,54491,10.6,31.0,4.7,287.0
14.0,48589,13.4,20.5,9.2,287.0
12.6,47380,17.1,21.0,6.6,287.0
14.9,39394,20.6,12.1,6.1,287.0
9.8,70967,7.5,31.4,3.2,287.0
13.9,46930,13.6,18.8,6.0,287.0
13.2,49292,12.4,21.5,5.3,287.0
12.0,52348,10.8,26.5,3.8,287.0
10.8,66716,9.3,26.8,3.5,287.0
10.9,58891,8.3,33.7,5.9,287.0
12.6,48370,18.8,20.9,4.9,287.0
14.7,44635,15.6,13.8,5.6,287.0
13.9,39934,17.5,19.8,5.1,287.0
9.9,64591,9.5,35.1,3.7,287.0
11.9,48988,16.2,14.0,4.7,287.0
12.1,50388,13.5,17.0,4.0,287.0
10.2,42282,19.0,33.2,5.1,287.0
13.1,45817,12.6,15.5,4.6,287.0
9.1,52837,18.1,38.5,3.6,287.0
10.7,61667,9.9,16.1,3.4,287.0
14.9,41256,15.1,16.3,6.4,287.0
15.1,40959,14.2,18.8,5.6,287.0
9.3,47056,23.4,29.2,3.9,287.0
11.3,52047,13.7,21.4,3.9,287.0
9.7,55881,14.4,38.1,3.4,287.0
13.0,46068,14.1,11.9,5.9,287.0
9.9,61675,11.3,35.2,3.0,287.0
14.2,51641,12.0,30.4,6.9,287.0
17.8,36044,22.3,11.3,6.9,287.0
11.1,65209,10.1,17.8,5.2,287.0
11.6,67349,7.0,42.8,4.2,287.0
11.6,55762,10.4,20.9,4.1,287.0
8.9,84048,5.0,34.8,3.3,287.0
13.3,43196,20.7,16.3,6.2,287.0
15.1,46645,13.4,21.8,9.7,287.0
11.7,62191,11.0,24.5,4.0,287.0
13.3,47401,13.1,20.0,5.7,287.0
10.4,54093,14.1,31.5,4.9,287.0
12.8,51083,12.1,23.2,4.9,287.0
11.0,45804,18.4,21.9,5.0,287.0
13.1,46486,12.4,16.7,4.0,287.0
9.9,58057,11.3,34.0,4.0,287.0
13.4,48413,12.9,13.2,5.0,287.0
11.0,62522,10.0,19.1,4.2,287.0
12.2,50396,14.3,13.0,4.2,287.0
15.9,40650,18.2,12.8,8.6,287.0
13.4,49960,15.7,19.1,4.5,287.0
13.0,48860,15.6,15.9,4.3,287.0
10.0,80319,8.2,46.4,3.3,287.0
13.7,50374,15.5,18.8,6.1,287.0
14.8,41201,15.9,12.1,7.0,287.0
16.1,40798,14.1,17.5,7.8,287.0
13.8,45607,17.6,13.8,4.4,287.0
15.1,38927,17.1,10.7,6.4,287.0
11.9,51292,11.4,24.2,5.2,287.0
8.8,70420,6.8,33.5,2.8,287.0
14.7,45502,14.2,17.3,8.0,287.0
15.8,38613,17.1,14.9,7.8,287.0
13.2,48805,17.0,21.1,4.8,287.0
11.7,56557,13.8,18.3,4.7,287.0
12.5,52689,13.6,15.7,3.7,287.0
13.0,46184,15.9,14.2,5.1,287.0
15.2,44887,13.2,15.8,7.1,287.0
11.0,54149,10.8,17.2,4.3,287.0
12.9,51113,12.7,13.6,5.5,287.0
12.7,57363,15.3,20.9,4.8,287.0
8.7,72267,15.0,55.2,3.0,287.0
13.6,46440,21.7,23.3,5.2,287.0
12.8,46396,13.1,17.9,4.7,287.0
13.9,44016,13.7,17.4,5.6,302.7
8.6,82284,5.6,29.7,2.8,302.7
10.5,59440,11.1,24.5,3.6,302.7
10.8,47073,18.4,28.1,4.1,302.7
9.0,61341,10.2,22.6,3.5,302.7
12.1,51058,11.3,15.0,3.8,302.7
8.1,58132,15.1,33.6,2.5,302.7
10.4,60626,8.4,20.4,3.4,302.7
10.3,60412,10.1,22.5,4.1,302.7
7.2,104248,3.8,48.1,2.5,302.7
12.8,48651,12.9,22.4,5.1,302.7
11.6,53540,8.8,19.1,3.2,302.7
9.0,82814,6.4,20.5,3.4,302.7
7.9,65914,11.8,33.5,2.9,302.7
12.8,51475,12.8,16.1,8.1,302.7
11.8,54465,9.6,42.4,3.5,302.7
11.5,51788,10.4,21.2,3.6,302.7
10.5,53481,12.6,24.3,3.9,302.7
8.5,86403,6.3,41.8,2.5,302.7
8.5,75955,6.1,24.4,3.0,302.7
10.3,60979,8.8,25.4,2.8,302.7
11.3,52560,11.7,17.8,3.5,302.7
10.1,58761,9.9,21.1,3.1,302.7
11.3,52010,9.9,16.7,3.2,302.7
9.8,67039,7.1,25.0,2.7,302.7
11.0,54917,9.9,19.4,4.0,302.7
7.9,76067,10.3,49.2,2.5,302.7
10.1,59613,8.5,24.0,2.9,302.7
11.7,55687,12.0,27.2,5.0,302.7
9.3,73468,7.6,17.7,3.7,302.7
11.8,53143,11.8,22.7,5.4,302.7
10.9,57786,8.8,22.0,2.9,302.7
11.8,56950,11.3,14.6,5.5,302.7
10.4,60579,11.5,23.4,2.9,302.7
11.7,54438,10.0,23.9,2.9,302.7
12.3,46281,14.9,17.6,6.1,302.7
11.8,52445,9.5,19.1,3.6,302.7
10.7,61015,8.6,29.8,3.1,302.7
12.0,52058,10.4,19.3,3.8,302.7
9.7,67269,7.8,22.4,4.1,302.7
11.7,51305,10.1,18.4,3.0,302.7
9.8,57690,12.1,25.4,2.9,302.7
9.9,61959,7.1,17.9,3.1,302.7
15.7,43162,20.9,12.2,4.6,302.7
10.8,58105,8.2,19.0,5.8,302.7
11.4,50821,13.7,20.1,3.1,302.7
10.5,66557,7.5,18.8,3.5,302.7
11.4,53289,12.4,15.3,4.8,302.7
10.9,57471,10.1,17.1,4.7,302.7
10.6,53387,11.6,21.7,2.7,302.7
11.3,59938,8.2,18.9,3.7,302.7
8.4,66209,8.7,32.6,2.2,302.7
12.0,55766,10.8,15.3,2.6,302.7
11.1,48799,10.9,18.4,4.3,302.7
8.2,76001,7.1,44.0,2.3,302.7
10.9,53778,10.3,25.1,3.6,302.7
9.7,57494,9.2,20.1,4.2,302.7
11.7,50387,12.0,14.5,4.8,302.7
11.1,55378,10.4,21.4,2.9,302.7
10.3,60180,12.0,24.1,3.7,302.7
10.4,60975,8.4,21.9,2.6,302.7
9.4,62937,14.6,41.9,2.7,302.7
11.3,54412,10.7,16.9,5.2,302.7
11.3,56760,9.4,18.6,3.6,302.7
11.1,59787,10.5,14.4,3.9,302.7
8.7,67024,9.6,27.5,2.8,302.7
10.1,63503,8.9,23.0,2.3,302.7
10.3,60239,8.5,19.3,3.3,302.7
9.5,53833,14.7,28.7,3.7,302.7
7.7,101427,5.2,39.3,2.5,302.7
7.7,81850,6.5,27.4,3.2,302.7
10.3,66209,7.1,16.7,3.2,302.7
8.4,60843,12.4,27.8,2.9,302.7
9.9,65323,9.6,25.0,2.9,302.7
8.7,61929,11.2,29.3,2.4,302.7
11.5,51552,10.2,18.0,3.7,302.7
11.5,58113,12.4,15.5,3.9,302.7
11.7,49773,13.1,17.0,3.2,302.7
10.4,63633,7.4,21.9,2.9,302.7
11.5,46312,14.4,13.6,5.2,302.7
9.9,58335,9.2,20.5,4.1,302.7
8.5,95840,4.2,43.2,2.5,302.7
11.9,51962,10.7,15.3,3.5,302.7
10.6,61387,9.4,23.5,3.0,302.7
8.9,56076,13.0,29.8,2.6,302.7
8.1,87377,4.9,28.4,3.0,302.7
11.0,56528,11.7,16.1,3.0,302.7
19.6,33392,29.4,17.8,6.2,191.3
14.1,40010,18.2,16.4,4.1,191.3
19.1,38092,22.2,13.1,6.0,191.3
17.0,36761,23.7,13.6,5.7,191.3
17.0,35184,22.1,10.3,5.6,191.3
18.6,33116,29.4,23.8,6.1,191.3
16.7,39176,21.3,11.3,4.3,191.3
16.1,42588,17.9,14.5,5.5,191.3
16.9,37429,20.3,12.4,5.0,191.3
16.5,38479,20.4,17.7,4.8,191.3
20.1,29631,36.3,19.1,9.2,191.3
16.0,41495,21.6,11.7,5.6,191.3
17.9,38121,21.9,20.1,6.0,191.3
20.0,29380,35.9,17.1,6.8,191.3
17.3,38664,26.5,14.2,5.5,191.3
15.7,36083,26.5,17.4,4.4,191.3
11.7,68126,9.0,24.1,3.8,191.3
12.9,39061,24.0,27.6,4.4,191.3
16.2,39508,20.1,15.3,6.0,191.3
12.5,47246,16.1,12.6,6.4,191.3
12.5,42022,22.6,8.6,6.2,191.3
16.4,39633,22.3,19.7,4.3,191.3
13.2,49843,17.5,23.2,5.0,191.3
13.1,45355,20.0,22.3,4.5,191.3
15.0,44776,19.4,29.1,4.6,191.3
21.9,26449,33.2,9.9,8.9,191.3
22.8,28542,37.0,14.4,8.4,191.3
20.6,26936,40.5,6.7,9.0,191.3
13.3,45720,13.7,13.4,4.1,191.3
13.0,51771,17.9,20.8,5.5,191.3
18.4,36987,19.0,14.5,5.8,191.3
24.0,28024,35.5,15.0,13.3,191.3
20.3,31739,26.0,13.9,6.7,191.3
14.8,42435,19.9,20.5,4.8,191.3
19.2,33437,27.5,11.0,7.4,191.3
9.8,49381,18.0,43.9,3.9,191.3
10.9,58377,14.0,35.2,3.6,191.3
14.4,40077,25.5,20.0,5.0,191.3
15.4,40510,18.7,15.6,6.0,191.3
17.4,37212,25.4,12.8,4.9,191.3
12.7,51088,13.1,23.9,3.9,191.3
19.2,29244,35.1,17.5,6.8,191.3
15.1,43478,19.1,16.0,4.7,191.3
14.6,44348,23.1,23.7,4.8,191.3
10.8,75740,9.4,47.7,3.7,191.3
17.0,36408,27.2,12.1,5.1,191.3
16.6,40285,20.9,13.7,5.0,191.3
15.9,44681,16.4,17.2,4.9,191.3
18.1,36311,22.9,20.4,5.3,191.3
16.5,36236,26.9,12.2,4.9,191.3
14.9,40792,21.2,16.6,4.9,191.3
19.2,32167,29.0,13.5,6.7,191.3
10.4,39130,27.3,43.5,4.7,191.3
16.6,39198,21.8,14.9,5.9,191.3
13.5,45268,18.1,16.4,4.7,191.3
15.4,39687,22.0,11.0,5.9,191.3
18.4,33983,30.6,15.5,5.7,191.3
13.8,44297,16.5,15.9,3.9,191.3
15.2,41281,19.8,12.2,4.3,191.3
22.4,27767,37.6,11.4,7.6,191.3
11.0,66296,9.6,29.2,3.4,191.3
17.8,38034,25.5,12.7,3.9,191.3
23.1,28887,33.6,18.7,7.0,191.3
16.8,38173,19.8,12.6,4.5,191.3
15.1,46764,16.8,12.5,4.4,191.3
13.1,44622,20.1,14.5,5.4,191.3
18.8,31329,32.6,15.4,7.8,191.3
17.6,32692,33.4,11.4,5.3,191.3
13.8,48082,17.6,17.4,4.9,191.3
14.4,39833,16.9,15.5,4.3,191.3
14.5,41455,15.2,10.0,4.6,191.3
16.7,33143,26.5,16.8,5.3,191.3
13.2,46600,13.4,14.8,3.5,191.3
18.2,33566,23.4,13.4,6.5,191.3
15.5,46049,19.2,23.3,5.5,191.3
19.6,33991,32.6,18.8,7.1,191.3
16.1,37401,21.4,16.0,5.4,191.3
14.3,43349,18.1,17.3,5.0,191.3
20.8,29900,30.3,13.8,8.5,191.3
18.2,39498,21.0,16.6,5.6,191.3
17.1,39551,18.1,14.2,5.0,191.3
16.7,33111,37.1,14.6,5.5,191.3
9.6,40395,23.9,30.0,3.5,273.1
10.8,57459,8.2,23.8,2.7,273.1
12.6,49122,11.8,22.5,2.5,273.1
12.3,44340,16.7,14.5,3.1,273.1
14.3,42457,18.8,14.5,3.0,273.1
13.6,41583,17.6,18.1,3.1,273.1
12.7,45955,14.2,14.9,3.8,273.1
16.4,40025,20.2,13.4,4.5,273.1
14.1,44233,15.6,9.4,3.6,273.1
8.4,55136,16.8,46.0,2.3,273.1
12.4,52506,15.6,20.7,3.0,273.1
14.1,38067,20.5,13.8,4.6,273.1
13.1,47591,14.4,18.3,3.1,273.1
11.1,53970,11.7,22.2,2.9,273.1
14.5,48580,12.6,21.8,4.2,273.1
10.6,51962,13.8,30.5,2.8,273.1
13.6,47049,12.3,17.0,3.1,273.1
13.5,34134,22.6,16.5,5.1,273.1
10.5,71374,8.1,26.1,3.1,273.1
14.6,37288,17.9,15.3,3.4,273.1
13.4,48421,13.4,18.4,2.8,273.1
10.4,58057,8.6,28.2,2.6,273.1
13.0,46832,14.9,13.5,3.9,273.1
9.5,68943,7.0,32.7,2.9,273.1
11.6,58641,9.0,19.4,3.2,273.1
10.7,62817,8.9,32.9,2.5,273.1
11.3,52513,14.0,21.4,3.1,273.1
14.3,42774,15.9,11.2,3.9,273.1
15.1,41381,16.8,13.6,2.7,273.1
13.8,38765,16.6,12.4,3.9,273.1
13.1,51255,14.9,18.1,3.0,273.1
12.0,48920,16.0,15.3,3.1,273.1
14.6,39392,20.3,14.6,3.3,273.1
16.3,36762,19.7,10.5,4.6,273.1
15.7,37331,26.1,13.1,5.5,273.1
11.0,58738,9.2,20.1,3.1,273.1
12.5,52282,11.8,18.9,2.9,273.1
